name,handedness,height,weight,avg,HR,BMI
Alex Trevino,R,70,165,0.249,23,23.67244898
Jim Price,R,72,192,0.214,18,26.03703704
Felix Millan,R,71,172,0.279,22,23.98651061
Steve Garvey,R,70,192,0.294,272,27.54612245
Don Mincher,L,75,205,0.249,200,25.62044444
Tony Cloninger,R,72,210,0.192,11,28.47800926
Jim Gosger,L,71,185,0.226,30,25.79944455
Chuck Harrison,R,70,185,0.238,17,26.54183673
Mike Ivie,R,75,205,0.269,81,25.62044444
Bob Veale,B,78,212,0.114,0,24.49638396
Marvell Wynne,L,71,175,0.247,40,24.40487998
Dusty Baker,R,74,183,0.278,242,23.49324324
Tucker Ashford,R,73,195,0.218,6,25.72433853
Ned Yost,R,73,190,0.212,16,25.0647401
Bob Stinson,B,71,180,0.25,33,25.10216227
Gaylord Perry,R,76,205,0.131,6,24.95065789
Dave Marshall,L,73,182,0.246,16,24.00938262
Mickey Hatcher,R,74,200,0.28,38,25.67567568
Roger Repoz,L,75,190,0.224,82,23.74577778
John Orsino,R,75,215,0.249,40,26.87022222
Johnny Briggs,L,73,190,0.253,139,25.0647401
Dave Hostetler,R,76,215,0.229,37,26.16776316
Bob Jones,L,74,195,0.221,20,25.03378378
Keith Hernandez,L,72,180,0.296,162,24.40972222
Dean Chance,R,75,200,0.066,0,24.99555556
Willie Upshaw,L,72,185,0.262,123,25.08777006
Dick Green,R,70,180,0.24,80,25.8244898
Dane Iorg,L,72,180,0.276,14,24.40972222
Richie Hebner,L,73,195,0.276,203,25.72433853
Fran Healy,R,77,220,0.25,20,26.08534323
Doc Edwards,R,74,215,0.238,15,27.60135135
Sandy Alomar,B,69,140,0.245,13,20.6721277
Joe Strain,R,70,169,0.25,1,24.24632653
Gene Richards,L,72,175,0.29,26,23.73167438
Buddy Bell,R,73,180,0.279,201,23.74554325
Al Woods,L,75,190,0.271,35,23.74577778
Rudy Law,L,73,165,0.271,18,21.76674798
Jody Davis,R,76,192,0.245,127,23.36842105
Mike Edwards,R,70,154,0.25,2,22.09428571
Deron Johnson,R,74,200,0.244,245,25.67567568
John Denny,R,75,185,0.17,0,23.12088889
Don Wert,R,70,162,0.242,77,23.24204082
Mike Fiore,L,72,175,0.227,13,23.73167438
Miguel Dilone,B,72,160,0.265,6,21.69753086
Greg Luzinski,R,73,220,0.276,307,29.02233064
Bobby Tolan,L,71,170,0.265,86,23.7075977
Ron Woods,R,70,168,0.233,26,24.10285714
Tony Horton,R,75,210,0.268,76,26.24533333
Randy Hundley,R,71,170,0.236,82,23.7075977
Jose Tartabull,L,71,165,0.261,2,23.01031541
Ben Oglivie,L,74,160,0.273,235,20.54054054
Bob Johnson,R,70,175,0.272,44,25.10714286
Don Buford,B,67,160,0.264,93,25.05680552
Duane Kuiper,L,72,175,0.271,1,23.73167438
Brant Alyea,R,75,215,0.247,38,26.87022222
Jerry Narron,L,75,205,0.211,21,25.62044444
Lou Johnson,R,71,170,0.258,48,23.7075977
Ken Retzer,L,72,185,0.264,14,25.08777006
Mike Brown,R,74,195,0.265,23,25.03378378
Greg Walker,L,75,205,0.26,113,25.62044444
Terry Harper,R,76,195,0.253,36,23.73355263
Jerry Royster,R,72,165,0.249,40,22.3755787
Barry Bonnell,R,75,190,0.272,56,23.74577778
Tom Seaver,R,73,195,0.154,12,25.72433853
Jerry Martin,R,73,195,0.251,85,25.72433853
Bill Stein,R,70,170,0.267,44,24.38979592
Joel Youngblood,R,72,180,0.265,80,24.40972222
Reggie Jackson,L,72,195,0.262,563,26.44386574
Sonny Jackson,L,69,150,0.251,7,22.14870825
Rodney Scott,B,72,160,0.236,3,21.69753086
Rich Coggins,L,68,170,0.265,12,25.84558824
Phil Gagliano,R,73,180,0.238,14,23.74554325
Jerry McNertney,R,72,180,0.237,27,24.40972222
Mitchell Page,L,74,205,0.266,72,26.31756757
Kiko Garcia,R,71,180,0.239,12,25.10216227
Larry Milbourne,B,72,161,0.254,11,21.83314043
Bill Sudakis,B,73,190,0.234,59,25.0647401
Domingo Ramos,R,70,154,0.24,8,22.09428571
Ron Oester,B,74,185,0.265,42,23.75
Glenn Adams,L,73,180,0.28,34,23.74554325
Joe Morgan,L,67,160,0.271,268,25.05680552
R.J. Reynolds,B,72,190,0.267,35,25.7658179
Lee Thomas,L,74,195,0.255,106,25.03378378
Ray Fosse,R,74,215,0.256,61,27.60135135
Paul Popovich,B,72,175,0.233,14,23.73167438
John Stephenson,L,71,180,0.216,12,25.10216227
Doug Clemens,L,72,180,0.229,12,24.40972222
Orlando Mercado,R,72,180,0.199,7,24.40972222
Charley Smith,R,73,170,0.239,69,22.42634641
Buddy Biancalana,B,71,160,0.205,6,22.31303313
Bob Uecker,R,73,190,0.2,14,25.0647401
Felix Torres,R,71,165,0.254,27,23.01031541
Steve Braun,L,70,180,0.271,52,25.8244898
Ray Knight,R,73,185,0.271,84,24.40514168
Ty Cline,L,72,170,0.238,6,23.05362654
Thad Bosley,L,75,175,0.272,20,21.87111111
Bobby Grich,R,74,180,0.266,224,23.10810811
Jimmie Hall,L,72,175,0.254,121,23.73167438
John Boccabella,R,73,195,0.219,26,25.72433853
Brock Davis,L,70,160,0.26,1,22.95510204
Curt Blefary,L,74,195,0.237,112,25.03378378
Mack Jones,L,73,180,0.252,133,23.74554325
Buddy Bradford,R,71,170,0.226,52,23.7075977
Hosken Powell,L,73,175,0.259,17,23.08594483
Dave Stapleton,R,73,178,0.271,41,23.48170388
Gary Ward,R,74,195,0.276,130,25.03378378
Jim Lonborg,R,77,200,0.136,3,23.71394839
Joe Lis,R,72,175,0.233,32,23.73167438
Dan Meyer,L,71,180,0.253,86,25.10216227
Jim Holt,L,72,180,0.265,19,24.40972222
Larry Herndon,R,75,190,0.274,107,23.74577778
Wallace Johnson,B,72,173,0.255,5,23.46045525
Eddie Leon,R,72,170,0.236,24,23.05362654
Jim Wohlford,R,71,175,0.26,21,24.40487998
J.R. Richard,R,80,222,0.168,10,24.3853125
Bill Voss,L,74,160,0.227,19,20.54054054
Keith Moreland,R,72,190,0.279,121,25.7658179
Alex Johnson,R,72,205,0.288,78,27.79996142
Wayne Krenchicki,L,73,180,0.266,15,23.74554325
Dave Rosello,R,71,160,0.236,10,22.31303313
Paul Schaal,R,71,165,0.244,57,23.01031541
Tito Landrum,R,71,175,0.249,13,24.40487998
Dave Edwards,R,72,170,0.237,14,23.05362654
Mario Guerrero,R,70,155,0.257,7,22.2377551
Tom Tresh,B,73,180,0.245,153,23.74554325
Ron Roenicke,B,72,180,0.238,17,24.40972222
Doug Griffin,R,72,160,0.245,7,21.69753086
Steve Blass,R,72,165,0.172,1,22.3755787
Johnnie LeMaster,R,74,165,0.222,22,21.18243243
Nate Oliver,R,70,160,0.226,2,22.95510204
Ray Sadecki,L,71,180,0.191,5,25.10216227
Ken Rudolph,R,73,180,0.213,6,23.74554325
Wayne Nordhagen,R,74,205,0.282,39,26.31756757
Biff Pocoroba,B,70,175,0.257,21,25.10714286
Len Matuszek,L,74,190,0.234,30,24.39189189
Joe Lefebvre,L,70,170,0.258,31,24.38979592
Jim Maloney,L,74,190,0.201,7,24.39189189
Andre Robertson,R,70,155,0.251,5,22.2377551
Jerry Zimmerman,R,74,185,0.204,3,23.75
Chet Lemon,R,72,190,0.273,215,25.7658179
Phil Mankowski,L,72,180,0.264,8,24.40972222
Cleon Jones,R,72,185,0.281,93,25.08777006
Joaquin Andujar,B,72,170,0.127,5,23.05362654
Mike Lum,L,72,180,0.247,90,24.40972222
Johnny Grubb,L,75,175,0.278,99,21.87111111
Curt Motton,R,68,164,0.213,25,24.933391
Johnny Bench,R,73,197,0.267,389,25.98817789
Dale Berra,R,72,180,0.236,49,24.40972222
Bob Meacham,B,73,175,0.236,8,23.08594483
Carl Warwick,R,70,170,0.248,31,24.38979592
Sam Bowens,R,73,188,0.223,45,24.80090073
George Wright,B,71,180,0.245,42,25.10216227
Luis Aguayo,R,69,173,0.236,37,25.54484352
Hal Lanier,R,74,180,0.228,8,23.10810811
Len Randle,B,70,169,0.257,27,24.24632653
Greg Pryor,R,72,180,0.25,14,24.40972222
Jim Traber,L,72,194,0.227,27,26.30825617
Dave Nelson,R,70,160,0.244,20,22.95510204
Lynn Jones,R,69,175,0.252,7,25.84015963
Bryan Little,B,70,160,0.245,3,22.95510204
Ken Suarez,R,69,175,0.227,5,25.84015963
Rick Peters,B,69,170,0.277,2,25.10186936
Ron Stone,L,74,185,0.241,6,23.75
Tommie Agee,R,71,195,0.255,130,27.19400913
Bob Bailey,R,73,180,0.257,189,23.74554325
Cap Peterson,R,74,195,0.23,19,25.03378378
Ted Uhlaender,L,74,190,0.263,36,24.39189189
Ted Simmons,B,71,193,0.285,248,26.91509621
Bobby Murcer,L,71,160,0.277,252,22.31303313
Dick Tracewski,R,71,160,0.213,8,22.31303313
Bill Nahorodny,R,74,200,0.241,25,25.67567568
Bill Madlock,R,71,180,0.305,163,25.10216227
Bob Boone,R,74,195,0.254,105,25.03378378
Steve Kemp,L,72,195,0.278,130,26.44386574
Rick Burleson,R,70,165,0.273,50,23.67244898
Carl Taylor,R,74,200,0.266,10,25.67567568
Terry Harmon,R,74,180,0.233,4,23.10810811
Mike Hargrove,L,72,195,0.29,80,26.44386574
Steve Hovley,L,70,188,0.258,8,26.9722449
Don Leppert,R,74,220,0.229,15,28.24324324
Lee May,R,75,195,0.267,354,24.37066667
Sam McDowell,L,77,190,0.154,2,22.52825097
Rick Renick,R,72,188,0.221,20,25.49459877
Jeff Torborg,R,72,195,0.214,8,26.44386574
Dave Campbell,R,73,180,0.213,20,23.74554325
Pat Kelly,L,73,185,0.264,76,24.40514168
Al Weis,B,72,160,0.219,7,21.69753086
Jerry Turner,L,69,180,0.257,45,26.57844991
Rick Auerbach,R,72,165,0.22,9,22.3755787
Don Wilson,R,74,195,0.146,1,25.03378378
Sandy Valdespino,L,68,170,0.23,7,25.84558824
Ken Phelps,L,73,209,0.239,123,27.57121411
Cesar Cedeno,R,74,175,0.285,199,22.46621622
Phil Linz,R,73,180,0.235,11,23.74554325
Manny Mota,R,70,160,0.304,31,22.95510204
Steve Renko,R,77,230,0.215,6,27.27104065
Rick Sofield,L,73,195,0.243,9,25.72433853
Doug DeCinces,R,74,190,0.259,237,24.39189189
John Castino,R,71,175,0.278,41,24.40487998
Dave May,L,70,186,0.251,96,26.68530612
Ron Washington,R,71,155,0.261,20,21.61575084
Billy Grabarkewitz,R,70,165,0.236,28,23.67244898
Willie Aikens,L,75,220,0.271,110,27.49511111
Earl Williams,R,75,215,0.247,138,26.87022222
Don Hahn,R,73,180,0.236,7,23.74554325
Todd Cruz,R,72,175,0.22,34,23.73167438
Tom Egan,R,76,218,0.2,22,26.53289474
Bob Heise,R,72,175,0.247,1,23.73167438
Tommy Harper,R,69,165,0.257,146,24.36357908
Joe Wallis,B,71,180,0.244,16,25.10216227
Max Alvis,R,71,185,0.247,111,25.79944455
Rico Carty,R,75,200,0.299,204,24.99555556
Mike Cubbage,L,72,180,0.258,34,24.40972222
Merritt Ranew,L,71,170,0.247,8,23.7075977
Lyman Bostock,L,73,180,0.311,23,23.74554325
Damaso Garcia,R,73,165,0.283,36,21.76674798
Roy Howell,L,73,190,0.261,80,25.0647401
Boog Powell,L,76,230,0.266,339,27.99342105
Sonny Siebert,R,75,190,0.173,12,23.74577778
Bobby Darwin,R,74,190,0.251,83,24.39189189
Dan Driessen,L,71,187,0.267,153,26.07835747
Bruce Miller,R,73,185,0.246,1,24.40514168
Bob Bailor,R,71,170,0.264,9,23.7075977
Tommy Helms,R,70,165,0.269,34,23.67244898
Tony Armas,R,71,182,0.252,251,25.38107518
Willie Horton,R,71,209,0.273,325,29.14639952
Lou Piniella,R,72,182,0.291,102,24.68094136
Butch Hobson,R,73,193,0.248,98,25.46049916
John Wathan,R,74,205,0.262,21,26.31756757
Hal King,L,73,200,0.214,24,26.38393695
Mike Krukow,R,77,205,0.193,5,24.3067971
Andres Mora,R,72,180,0.223,27,24.40972222
Barry Foote,R,75,205,0.23,57,25.62044444
Ed Ott,L,70,190,0.259,33,27.25918367
Alan Wiggins,B,74,160,0.259,5,20.54054054
Ron Clark,R,70,175,0.189,5,25.10714286
Julio Gotay,R,72,180,0.26,6,24.40972222
Gary Alexander,R,74,195,0.23,55,25.03378378
Andre Thornton,R,75,200,0.254,253,24.99555556
Bob Oliver,R,75,205,0.256,94,25.62044444
Bob Robertson,R,73,195,0.242,115,25.72433853
Ollie Brown,R,74,178,0.265,102,22.85135135
Frank Quilici,R,73,170,0.214,5,22.42634641
Joe Pepitone,L,74,185,0.258,219,23.75
Steve Barber,L,72,195,0.115,5,26.44386574
Norm Miller,L,70,185,0.238,24,26.54183673
Bob Chance,L,74,196,0.261,24,25.16216216
Julio Cruz,B,69,165,0.237,23,24.36357908
Bill Sample,R,69,175,0.272,46,25.84015963
Craig Kusick,R,75,210,0.235,46,26.24533333
Rudy Meoli,L,69,165,0.212,2,24.36357908
Ruppert Jones,L,70,170,0.25,147,24.38979592
Glenn Hoffman,R,73,175,0.242,23,23.08594483
Russ Gibson,R,73,195,0.228,8,25.72433853
Terry Francona,L,73,190,0.274,16,25.0647401
John Bateman,R,75,210,0.23,81,26.24533333
Luis Pujols,R,74,175,0.193,6,22.46621622
Joe Gaines,R,73,190,0.241,21,25.0647401
Doug Rader,R,74,208,0.251,155,26.7027027
Mickey Stanley,R,73,185,0.248,117,24.40514168
Phil Bradley,R,72,185,0.286,78,25.08777006
Winston Llenas,R,70,165,0.23,3,23.67244898
Charlie Moore,R,71,180,0.261,36,25.10216227
Ralph Garr,L,71,185,0.306,75,25.79944455
Tommy John,R,75,180,0.157,5,22.496
Bruce Benedict,R,73,175,0.242,18,23.08594483
John Ellis,R,74,225,0.262,69,28.88513514
Wes Parker,B,73,180,0.267,64,23.74554325
David Green,R,75,170,0.268,31,21.24622222
Reid Nichols,R,71,165,0.266,22,23.01031541
Rick Reichardt,R,75,210,0.261,116,26.24533333
Luis Tiant,R,72,180,0.164,5,24.40972222
Broderick Perkins,L,70,180,0.271,8,25.8244898
Leon Roberts,R,75,200,0.267,78,24.99555556
Ray Burris,R,77,200,0.151,1,23.71394839
Len Gabrielson,L,76,210,0.253,37,25.55921053
Johnny Edwards,L,76,220,0.242,81,26.77631579
Tom Grieve,R,74,190,0.249,65,24.39189189
Bob Forsch,R,76,200,0.213,12,24.34210526
Danny Cater,R,72,170,0.276,66,23.05362654
Bill Schroeder,R,74,200,0.24,61,25.67567568
Clay Dalrymple,L,72,190,0.233,55,25.7658179
Carlos May,L,71,200,0.274,90,27.89129141
Reggie Smith,B,72,180,0.287,314,24.40972222
Ron Reed,R,78,215,0.158,0,24.8430309
Davey Johnson,R,73,170,0.261,136,22.42634641
Ellis Valentine,R,76,205,0.278,123,24.95065789
Roy White,B,70,160,0.271,160,22.95510204
Mike Brumley,L,70,195,0.229,5,27.97653061
Al Luplow,L,70,175,0.235,33,25.10714286
Dick Allen,R,71,187,0.292,351,26.07835747
Doug Ault,R,75,200,0.236,17,24.99555556
Mark Wagner,R,72,165,0.243,3,22.3755787
Willie Stargell,L,74,188,0.282,475,24.13513514
Steve Carlton,L,76,210,0.201,13,25.55921053
Jake Wood,R,73,163,0.25,35,21.50290861
Del Unser,L,73,180,0.258,87,23.74554325
Bob Brower,R,71,185,0.242,17,25.79944455
Ray Culp,R,72,200,0.123,1,27.12191358
Ivan Murrell,R,74,195,0.236,33,25.03378378
Lee Mazzilli,B,73,180,0.259,93,23.74554325
Garth Iorg,R,71,170,0.258,20,23.7075977
Alan Ashby,B,74,185,0.245,90,23.75
Bob Brenly,R,74,210,0.247,91,26.95945946
Ron Blomberg,L,73,195,0.293,52,25.72433853
Jim Rooker,R,72,195,0.201,7,26.44386574
Tim Blackwell,B,71,170,0.228,6,23.7075977
Jerry Morales,R,70,155,0.259,95,22.2377551
Davey Lopes,R,69,170,0.263,155,25.10186936
Catfish Hunter,R,72,190,0.226,6,25.7658179
Mario Soto,R,72,174,0.132,1,23.59606481
Jimmy Wynn,R,70,160,0.25,291,22.95510204
Hank Allen,R,72,190,0.241,6,25.7658179
Jim Fregosi,R,73,190,0.265,151,25.0647401
Pepe Frias,R,70,159,0.24,1,22.81163265
Mike Schmidt,R,74,195,0.267,548,25.03378378
Willie Montanez,L,72,170,0.275,139,23.05362654
Rey Quinones,R,71,160,0.243,29,22.31303313
Mike Squires,L,71,185,0.26,6,25.79944455
Champ Summers,L,74,205,0.255,54,26.31756757
Bert Campaneris,R,70,160,0.259,79,22.95510204
Bobby Valentine,R,70,189,0.26,12,27.11571429
Rob Andrews,R,72,185,0.251,3,25.08777006
Tom Haller,L,76,195,0.257,134,23.73355263
Ed Stroud,L,71,180,0.237,14,25.10216227
Ron Swoboda,R,74,195,0.242,73,25.03378378
Harry Spilman,L,73,180,0.237,18,23.74554325
Bob Barton,R,72,175,0.226,9,23.73167438
Daryl Sconiers,L,74,185,0.265,15,23.75
Joe Torre,R,74,212,0.297,252,27.21621622
Al Ferrara,R,73,200,0.259,51,26.38393695
Sixto Lezcano,R,70,165,0.271,148,23.67244898
Dave Nicholson,R,74,215,0.212,61,27.60135135
Freddie Patek,R,65,148,0.242,41,24.62579882
Ken Hubbs,R,74,175,0.247,14,22.46621622
Pepe Mangual,R,70,157,0.242,16,22.52469388
Leron Lee,L,72,196,0.25,31,26.57947531
Steve Ontiveros,B,72,185,0.274,24,25.08777006
Willie Davis,L,74,180,0.279,182,23.10810811
Tom Lawless,R,71,170,0.207,2,23.7075977
Jerry Moses,R,75,210,0.251,25,26.24533333
Bobby Bonds,R,73,190,0.268,332,25.0647401
Dave McNally,R,71,185,0.133,9,25.79944455
Darrell Brown,B,72,184,0.274,1,24.95216049
Roy Foster,R,72,185,0.253,45,25.08777006
Denis Menke,R,72,185,0.25,101,25.08777006
Hal Breeden,R,74,200,0.243,21,25.67567568
Manny Trillo,R,73,150,0.263,61,19.78795271
Jackie Gutierrez,R,71,175,0.237,4,24.40487998
Jerry Kenney,L,73,170,0.237,7,22.42634641
Fred Kendall,R,73,185,0.234,31,24.40514168
Mike Anderson,R,74,200,0.246,28,25.67567568
Joe Charboneau,R,74,205,0.266,29,26.31756757
Jimmie Schaffer,R,69,170,0.223,11,25.10186936
Junior Kennedy,R,71,175,0.248,4,24.40487998
Wilbur Howard,B,74,170,0.25,6,21.82432432
Rod Gilbreath,R,74,180,0.248,14,23.10810811
Mark Brouhard,R,73,210,0.259,25,27.7031338
Mike Young,B,74,195,0.247,72,25.03378378
Chris Speier,R,73,175,0.246,112,23.08594483
Gene Michael,B,74,183,0.229,15,23.49324324
Vic Harris,B,71,165,0.217,13,23.01031541
Mike Fischlin,R,73,165,0.22,3,21.76674798
Don Money,R,73,170,0.261,176,22.42634641
Joe Rudi,R,74,200,0.264,179,25.67567568
Jim Rice,R,74,200,0.298,382,25.67567568
Gil Garrido,R,69,150,0.237,1,22.14870825
Marty Perez,R,71,160,0.246,22,22.31303313
Tom Matchick,L,73,173,0.215,4,22.82210546
Jack Perconte,L,70,160,0.27,2,22.95510204
Ed Kirkpatrick,L,71,195,0.238,85,27.19400913
Jerry Grote,R,70,185,0.252,39,26.54183673
Ellie Hendricks,L,73,175,0.22,62,23.08594483
Jim Beauchamp,R,74,190,0.231,14,24.39189189
Tito Fuentes,B,71,175,0.268,45,24.40487998
Ron Brand,R,67,167,0.239,3,26.15304077
Leo Cardenas,R,71,150,0.257,118,20.91846856
Art Shamsky,L,73,168,0.253,68,22.16250704
Ron Cey,R,70,185,0.261,316,26.54183673
Skip Jutze,R,71,190,0.215,3,26.49672684
Butch Wynegar,B,73,190,0.255,65,25.0647401
Ron LeFlore,R,72,200,0.288,59,27.12191358
Bill Russell,R,72,175,0.263,46,23.73167438
Gene Tenace,R,72,190,0.241,201,25.7658179
Bubba Morton,R,70,175,0.267,14,25.10714286
Ellie Rodriguez,R,71,185,0.245,16,25.79944455
Darrel Chaney,B,74,188,0.217,14,24.13513514
Dick Nen,L,74,200,0.224,21,25.67567568
Bill Freehan,R,75,203,0.262,200,25.37048889
Steve Nicosia,R,70,185,0.248,11,26.54183673
Ted Savage,R,73,185,0.233,34,24.40514168
Pete Mackanin,R,74,190,0.226,30,24.39189189
Rich Dauer,R,72,180,0.257,43,24.40972222
Mick Kelleher,R,69,176,0.213,0,25.98781769
Rowland Office,L,72,170,0.259,32,23.05362654
Rick Leach,L,73,180,0.268,18,23.74554325
Dwayne Murphy,L,73,185,0.246,166,24.40514168
Larry Harlow,L,74,185,0.248,12,23.75
Mike Epstein,L,75,230,0.244,130,28.74488889
Jerry Mumphrey,B,74,185,0.289,70,23.75
Don Sutton,R,73,185,0.144,0,24.40514168
Glenn Beckert,R,73,190,0.283,22,25.0647401
Ron Davis,R,72,175,0.233,10,23.73167438
Mike Shannon,R,75,195,0.255,68,24.37066667
Jason Thompson,L,76,200,0.261,208,24.34210526
Wayne Tolleson,B,69,160,0.241,9,23.6252888
Mike Jorgensen,L,72,195,0.243,95,26.44386574
Ed Romero,R,71,160,0.247,8,22.31303313
Rick Joseph,R,73,192,0.243,13,25.32857947
Cecil Cooper,L,74,165,0.298,241,21.18243243
Bill Almon,R,75,180,0.254,36,22.496
Joe Ferguson,R,74,200,0.24,122,25.67567568
Jerry Terrell,R,71,165,0.253,4,23.01031541
Dave Revering,L,76,210,0.265,62,25.55921053
Curt Ford,L,70,150,0.245,7,21.52040816
Jerry Dybzinski,R,74,180,0.234,3,23.10810811
Bob Burda,L,71,174,0.224,13,24.26542353
Jesse Gonder,L,70,180,0.251,26,25.8244898
Gary Sutherland,R,72,185,0.243,24,25.08777006
Bob Coluccio,R,71,183,0.22,26,25.52053164
Dave Rader,L,71,165,0.257,30,23.01031541
Ron Gardenhire,R,72,175,0.232,4,23.73167438
Bill Sharp,L,70,178,0.255,9,25.53755102
Alan Bannister,R,71,170,0.27,19,23.7075977
Bob Watson,R,72,201,0.295,184,27.25752315
Ken Harrelson,R,74,190,0.239,131,24.39189189
Bobby Wine,R,73,187,0.215,30,24.66898105
John Kennedy,R,72,185,0.225,32,25.08777006
Chico Ruiz,B,72,169,0.24,2,22.91801698
Gail Hopkins,L,70,198,0.266,25,28.40693878
Doug Frobel,L,76,196,0.201,20,23.85526316
Luis Melendez,R,72,165,0.248,9,22.3755787
Bill Plummer,R,73,190,0.188,14,25.0647401
Buck Rodgers,B,74,190,0.232,31,24.39189189
Phil Niekro,R,73,180,0.169,7,23.74554325
Tom Poquette,L,70,175,0.268,10,25.10714286
Brian Asselstine,L,73,175,0.254,12,23.08594483
Rick Miller,L,72,175,0.269,28,23.73167438
Ed Charles,R,70,170,0.263,86,24.38979592
Luis Gomez,R,69,150,0.21,0,22.14870825
Floyd Rayford,R,70,190,0.244,38,27.25918367
Tony Conigliaro,R,75,185,0.264,166,23.12088889
Jim Barr,R,75,205,0.162,1,25.62044444
Jerry Remy,L,69,165,0.275,7,24.36357908
Frank Duffy,R,73,180,0.232,26,23.74554325
Tom O'Malley,L,72,180,0.256,13,24.40972222
Phil Garner,R,70,175,0.26,109,25.10714286
